"county","year","population.estimate","population.quintile","state.frac","state.frac.quintile","pop.per.chg","pop.per.chg.quintile"
"Alameda",1981,1117800,5,0.0464994384125796,5,NA,NA
"Alameda",1982,1134000,5,0.0461970912942518,5,1.44927536231884,4
"Alameda",1983,1151800,5,0.04593236560855,5,1.56966490299824,5
"Alameda",1984,1170400,5,0.04574197834838,5,1.61486369161313,5
"Alameda",1985,1185500,5,0.0453988434879179,5,1.29015721120984,3
"Alameda",1986,1206900,5,0.0451312542068656,5,1.80514550822438,5
"Alameda",1987,1220600,5,0.0445669636337082,5,1.13513961388682,3
"Alameda",1988,1242300,5,0.0442714087167243,5,1.77781418974275,5
"Alameda",1989,1261200,5,0.0438358068888812,5,1.52137164936006,4
"Alameda",1990,1274700,5,0.0431253806076189,5,1.07040913415794,3
"Alameda",1991,1284782,5,0.0426221127534559,5,0.790931199497921,2
"Alameda",1992,1302709,5,0.0424017538913357,5,1.39533399440528,4
"Alameda",1993,1318127,5,0.0423144058066464,5,1.18353369785578,3
"Alameda",1994,1327526,5,0.042252412080102,5,0.71305723955279,2
"Alameda",1995,1333031,5,0.0421608165281739,5,0.414681143721479,1
"Alameda",1996,1340509,5,0.0421048528493172,5,0.560977201580458,1
"Alameda",1997,1361330,5,0.0422670000303342,5,1.55321597990017,4
"Alameda",1998,1389000,5,0.0425318522695153,5,2.0325710885678,5
"Alameda",1999,1412315,5,0.0426156349832658,5,1.67854571634269,5
"Alameda",2000,1437136,5,0.0426176908717482,5,1.75746911984933,5
"Alameda",2001,1457185,5,0.0425371157816338,5,1.39506629852707,4
"Alameda",2002,1467063,5,0.0422474067771952,5,0.677882355363252,2
"Alameda",2003,1467892,5,0.0417446343462641,5,0.0565074574166208,1
"Alameda",2004,1466407,5,0.0412249671760698,5,-0.10116548083919,1
"Alameda",2005,1462736,5,0.0407797525747248,5,-0.250339776064899,1
"Alameda",2006,1462371,5,0.0404907193729839,5,-0.024953238315048,1
"Alameda",2007,1470622,5,0.0404020629194611,5,0.564220707330766,1
"Alameda",2008,1484085,5,0.0404334633132971,5,0.915462980969957,2
"Alameda",2009,1497799,5,0.0405175055731896,5,0.924071060619843,2
"Alameda",2010,1509240,5,0.040544918721574,5,0.763854162007052,2
"Alameda",2011,1525695,5,0.0406452755007182,5,1.09028385147491,3
"Alameda",2012,1543027,5,0.0407331500822423,5,1.13600686900069,3
"Alameda",2013,1566339,5,0.0409615973469324,5,1.51079663544449,4
"Alameda",2014,1587637,5,0.0411651957677585,5,1.35973119484352,3
"Alameda",2015,1610765,5,0.041399707543315,5,1.45675617285311,4
"Alameda",2016,1627865,5,0.0414680520624132,5,1.06160737289425,2
"Alpine",1981,1090,1,4.53429843171513e-05,1,NA,NA
"Alpine",1982,1100,1,4.48119933189392e-05,1,0.917431192660551,4
"Alpine",1983,1120,1,4.46642207688627e-05,1,1.81818181818182,5
"Alpine",1984,1080,1,4.22089342244108e-05,1,-3.57142857142857,1
"Alpine",1985,1100,1,4.21246122620917e-05,1,1.85185185185185,5
"Alpine",1986,1140,1,4.26295714606237e-05,1,3.63636363636364,5
"Alpine",1987,1130,1,4.1258945523587e-05,1,-0.87719298245614,2
"Alpine",1988,1100,1,3.92003136025088e-05,1,-2.65486725663717,1
"Alpine",1989,1090,1,3.788537068576e-05,1,-0.909090909090909,2
"Alpine",1990,1100,1,3.72149671831653e-05,1,0.917431192660551,4
"Alpine",1991,1107,1,3.67242682556852e-05,1,0.636363636363636,3
"Alpine",1992,1126,1,3.66500691110939e-05,1,1.7163504968383,4
"Alpine",1993,1131,1,3.63072700637473e-05,1,0.44404973357016,3
"Alpine",1994,1125,1,3.58064275879454e-05,1,-0.530503978779841,2
"Alpine",1995,1145,1,3.62138126755935e-05,1,1.77777777777778,4
"Alpine",1996,1192,1,3.74402444119257e-05,1,4.10480349344978,5
"Alpine",1997,1225,1,3.80341835096262e-05,1,2.76845637583893,5
"Alpine",1998,1215,1,3.72038880543276e-05,1,-0.816326530612245,2
"Alpine",1999,1182,1,3.56660380653184e-05,1,-2.71604938271605,1
"Alpine",2000,1196,1,3.54668996410993e-05,1,1.1844331641286,4
"Alpine",2001,1220,1,3.561337870867e-05,1,2.0066889632107,5
"Alpine",2002,1242,1,3.57662071889731e-05,1,1.80327868852459,5
"Alpine",2003,1248,1,3.54912375461802e-05,1,0.483091787439614,3
"Alpine",2004,1257,1,3.53379271514114e-05,1,0.721153846153846,4
"Alpine",2005,1237,1,3.44864376995812e-05,1,-1.59108989657916,1
"Alpine",2006,1232,1,3.4112114003571e-05,1,-0.404203718674212,2
"Alpine",2007,1252,1,3.43959105570061e-05,1,1.62337662337662,4
"Alpine",2008,1228,1,3.34565021199789e-05,1,-1.91693290734824,1
"Alpine",2009,1194,1,3.22993283173432e-05,1,-2.76872964169381,1
"Alpine",2010,1178,1,3.16463347472994e-05,1,-1.34003350083752,1
"Alpine",2011,1169,1,3.11427428551182e-05,1,-0.764006791171477,2
"Alpine",2012,1166,1,3.07803123314722e-05,1,-0.256629597946963,2
